城市名称,城市代码_民政部,所属省份,省份代码_民政部,所属地区,地区代码
北京市,110000,北京市,11,东部地区,1
天津市,120000,天津市,12,东部地区,1
石家庄市,130100,河北省,13,东部地区,1
唐山市,130200,河北省,13,东部地区,1
秦皇岛市,130300,河北省,13,东部地区,1
邯郸市,130400,河北省,13,东部地区,1
邢台市,130500,河北省,13,东部地区,1
保定市,130600,河北省,13,东部地区,1
张家口市,130700,河北省,13,东部地区,1
承德市,130800,河北省,13,东部地区,1
沧州市,130900,河北省,13,东部地区,1
廊坊市,131000,河北省,13,东部地区,1
衡水市,131100,河北省,13,东部地区,1
太原市,140100,山西省,14,中部地区,2
大同市,140200,山西省,14,中部地区,2
阳泉市,140300,山西省,14,中部地区,2
长治市,140400,山西省,14,中部地区,2
晋城市,140500,山西省,14,中部地区,2
朔州市,140600,山西省,14,中部地区,2
晋中市,140700,山西省,14,中部地区,2
运城市,140800,山西省,14,中部地区,2
忻州市,140900,山西省,14,中部地区,2
临汾市,141000,山西省,14,中部地区,2
吕梁市,141100,山西省,14,中部地区,2
呼和浩特市,150100,内蒙古自治区,15,西部地区,3
包头市,150200,内蒙古自治区,15,西部地区,3
乌海市,150300,内蒙古自治区,15,西部地区,3
赤峰市,150400,内蒙古自治区,15,西部地区,3
通辽市,150500,内蒙古自治区,15,西部地区,3
鄂尔多斯市,150600,内蒙古自治区,15,西部地区,3
呼伦贝尔市,150700,内蒙古自治区,15,西部地区,3
巴彦淖尔市,150800,内蒙古自治区,15,西部地区,3
乌兰察布市,150900,内蒙古自治区,15,西部地区,3
兴安盟,152200,内蒙古自治区,15,西部地区,3
锡林郭勒盟,152500,内蒙古自治区,15,西部地区,3
阿拉善盟,152900,内蒙古自治区,15,西部地区,3
沈阳市,210100,辽宁省,21,东北地区,4
大连市,210200,辽宁省,21,东北地区,4
鞍山市,210300,辽宁省,21,东北地区,4
抚顺市,210400,辽宁省,21,东北地区,4
本溪市,210500,辽宁省,21,东北地区,4
丹东市,210600,辽宁省,21,东北地区,4
锦州市,210700,辽宁省,21,东北地区,4
营口市,210800,辽宁省,21,东北地区,4
阜新市,210900,辽宁省,21,东北地区,4
辽阳市,211000,辽宁省,21,东北地区,4
盘锦市,211100,辽宁省,21,东北地区,4
铁岭市,211200,辽宁省,21,东北地区,4
朝阳市,211300,辽宁省,21,东北地区,4
葫芦岛市,211400,辽宁省,21,东北地区,4
长春市,220100,吉林省,22,东北地区,4
吉林市,220200,吉林省,22,东北地区,4
四平市,220300,吉林省,22,东北地区,4
辽源市,220400,吉林省,22,东北地区,4
通化市,220500,吉林省,22,东北地区,4
白山市,220600,吉林省,22,东北地区,4
松原市,220700,吉林省,22,东北地区,4
白城市,220800,吉林省,22,东北地区,4
延边朝鲜族自治州,222400,吉林省,22,东北地区,4
哈尔滨市,230100,黑龙江省,23,东北地区,4
齐齐哈尔市,230200,黑龙江省,23,东北地区,4
鸡西市,230300,黑龙江省,23,东北地区,4
鹤岗市,230400,黑龙江省,23,东北地区,4
双鸭山市,230500,黑龙江省,23,东北地区,4
大庆市,230600,黑龙江省,23,东北地区,4
伊春市,230700,黑龙江省,23,东北地区,4
佳木斯市,230800,黑龙江省,23,东北地区,4
七台河市,230900,黑龙江省,23,东北地区,4
牡丹江市,231000,黑龙江省,23,东北地区,4
黑河市,231100,黑龙江省,23,东北地区,4
绥化市,231200,黑龙江省,23,东北地区,4
大兴安岭地区,232700,黑龙江省,23,东北地区,4
上海市,310000,上海市,31,东部地区,1
南京市,320100,江苏省,32,东部地区,1
无锡市,320200,江苏省,32,东部地区,1
徐州市,320300,江苏省,32,东部地区,1
常州市,320400,江苏省,32,东部地区,1
苏州市,320500,江苏省,32,东部地区,1
南通市,320600,江苏省,32,东部地区,1
连云港市,320700,江苏省,32,东部地区,1
淮安市,320800,江苏省,32,东部地区,1
盐城市,320900,江苏省,32,东部地区,1
扬州市,321000,江苏省,32,东部地区,1
镇江市,321100,江苏省,32,东部地区,1
泰州市,321200,江苏省,32,东部地区,1
宿迁市,321300,江苏省,32,东部地区,1
杭州市,330100,浙江省,33,东部地区,1
宁波市,330200,浙江省,33,东部地区,1
温州市,330300,浙江省,33,东部地区,1
嘉兴市,330400,浙江省,33,东部地区,1
湖州市,330500,浙江省,33,东部地区,1
绍兴市,330600,浙江省,33,东部地区,1
金华市,330700,浙江省,33,东部地区,1
衢州市,330800,浙江省,33,东部地区,1
舟山市,330900,浙江省,33,东部地区,1
台州市,331000,浙江省,33,东部地区,1
丽水市,331100,浙江省,33,东部地区,1
合肥市,340100,安徽省,34,中部地区,2
芜湖市,340200,安徽省,34,中部地区,2
蚌埠市,340300,安徽省,34,中部地区,2
淮南市,340400,安徽省,34,中部地区,2
马鞍山市,340500,安徽省,34,中部地区,2
淮北市,340600,安徽省,34,中部地区,2
铜陵市,340700,安徽省,34,中部地区,2
安庆市,340800,安徽省,34,中部地区,2
黄山市,341000,安徽省,34,中部地区,2
滁州市,341100,安徽省,34,中部地区,2
阜阳市,341200,安徽省,34,中部地区,2
宿州市,341300,安徽省,34,中部地区,2
六安市,341500,安徽省,34,中部地区,2
亳州市,341600,安徽省,34,中部地区,2
池州市,341700,安徽省,34,中部地区,2
宣城市,341800,安徽省,34,中部地区,2
福州市,350100,福建省,35,东部地区,1
厦门市,350200,福建省,35,东部地区,1
莆田市,350300,福建省,35,东部地区,1
三明市,350400,福建省,35,东部地区,1
泉州市,350500,福建省,35,东部地区,1
漳州市,350600,福建省,35,东部地区,1
南平市,350700,福建省,35,东部地区,1
龙岩市,350800,福建省,35,东部地区,1
宁德市,350900,福建省,35,东部地区,1
南昌市,360100,江西省,36,中部地区,2
景德镇市,360200,江西省,36,中部地区,2
萍乡市,360300,江西省,36,中部地区,2
九江市,360400,江西省,36,中部地区,2
新余市,360500,江西省,36,中部地区,2
鹰潭市,360600,江西省,36,中部地区,2
赣州市,360700,江西省,36,中部地区,2
吉安市,360800,江西省,36,中部地区,2
宜春市,360900,江西省,36,中部地区,2
抚州市,361000,江西省,36,中部地区,2
上饶市,361100,江西省,36,中部地区,2
济南市,370100,山东省,37,东部地区,1
青岛市,370200,山东省,37,东部地区,1
淄博市,370300,山东省,37,东部地区,1
枣庄市,370400,山东省,37,东部地区,1
东营市,370500,山东省,37,东部地区,1
烟台市,370600,山东省,37,东部地区,1
潍坊市,370700,山东省,37,东部地区,1
济宁市,370800,山东省,37,东部地区,1
泰安市,370900,山东省,37,东部地区,1
威海市,371000,山东省,37,东部地区,1
日照市,371100,山东省,37,东部地区,1
临沂市,371300,山东省,37,东部地区,1
德州市,371400,山东省,37,东部地区,1
聊城市,371500,山东省,37,东部地区,1
滨州市,371600,山东省,37,东部地区,1
菏泽市,371700,山东省,37,东部地区,1
郑州市,410100,河南省,41,中部地区,2
开封市,410200,河南省,41,中部地区,2
洛阳市,410300,河南省,41,中部地区,2
平顶山市,410400,河南省,41,中部地区,2
安阳市,410500,河南省,41,中部地区,2
鹤壁市,410600,河南省,41,中部地区,2
新乡市,410700,河南省,41,中部地区,2
焦作市,410800,河南省,41,中部地区,2
濮阳市,410900,河南省,41,中部地区,2
许昌市,411000,河南省,41,中部地区,2
漯河市,411100,河南省,41,中部地区,2
三门峡市,411200,河南省,41,中部地区,2
南阳市,411300,河南省,41,中部地区,2
商丘市,411400,河南省,41,中部地区,2
信阳市,411500,河南省,41,中部地区,2
周口市,411600,河南省,41,中部地区,2
驻马店市,411700,河南省,41,中部地区,2
武汉市,420100,湖北省,42,中部地区,2
黄石市,420200,湖北省,42,中部地区,2
十堰市,420300,湖北省,42,中部地区,2
宜昌市,420500,湖北省,42,中部地区,2
襄阳市,420600,湖北省,42,中部地区,2
鄂州市,420700,湖北省,42,中部地区,2
荆门市,420800,湖北省,42,中部地区,2
孝感市,420900,湖北省,42,中部地区,2
荆州市,421000,湖北省,42,中部地区,2
黄冈市,421100,湖北省,42,中部地区,2
咸宁市,421200,湖北省,42,中部地区,2
随州市,421300,湖北省,42,中部地区,2
恩施土家族苗族自治州,422800,湖北省,42,中部地区,2
长沙市,430100,湖南省,43,中部地区,2
株洲市,430200,湖南省,43,中部地区,2
湘潭市,430300,湖南省,43,中部地区,2
衡阳市,430400,湖南省,43,中部地区,2
邵阳市,430500,湖南省,43,中部地区,2
岳阳市,430600,湖南省,43,中部地区,2
常德市,430700,湖南省,43,中部地区,2
张家界市,430800,湖南省,43,中部地区,2
益阳市,430900,湖南省,43,中部地区,2
郴州市,431000,湖南省,43,中部地区,2
永州市,431100,湖南省,43,中部地区,2
怀化市,431200,湖南省,43,中部地区,2
